CustomerID,Recency,Frequency,Monetary,Segment_Raw,Segment
12424,163,2,1760.96,1,At Risk / Lost
12425,78,1,777.2,0,Regular Customers
12426,195,1,582.73,1,At Risk / Lost
12427,22,3,825.8000000000001,0,Regular Customers
12428,26,9,7956.46,0,Regular Customers
12429,9,4,3750.4,0,Regular Customers
12430,43,1,256.4,0,Regular Customers
12431,36,15,6487.45,3,Loyal Customers
12432,43,5,5059.32,0,Regular Customers
12433,1,7,13375.87,0,Regular Customers
12434,85,2,806.14,0,Regular Customers
12435,80,2,7829.89,0,Regular Customers
12436,100,1,509.01,0,Regular Customers
12437,2,18,4951.41,3,Loyal Customers
12438,14,2,2906.85,0,Regular Customers
12441,367,1,173.55,1,At Risk / Lost
12442,3,1,172.06,0,Regular Customers
12444,21,5,5005.46,0,Regular Customers
12445,22,1,133.4,0,Regular Customers
12446,58,1,1002.31,0,Regular Customers
12447,243,1,476.49,1,At Risk / Lost
12448,44,1,449.45,0,Regular Customers
12449,22,4,4067.29,0,Regular Customers
12450,156,2,197.88,1,At Risk / Lost
12451,11,5,9035.52,0,Regular Customers
12452,17,2,430.5700000000001,0,Regular Customers
12453,134,1,707.09,0,Regular Customers
12454,56,1,3528.34,0,Regular Customers
12455,73,6,2466.86,0,Regular Customers
12456,44,3,3181.04,0,Regular Customers
12457,66,7,2363.23,0,Regular Customers
12458,71,2,947.4,0,Regular Customers
12461,94,2,826.88,0,Regular Customers
12462,19,2,1189.59,0,Regular Customers
12463,53,4,1344.78,0,Regular Customers
12464,10,8,1212.05,0,Regular Customers
12465,17,2,742.19,0,Regular Customers
12468,188,2,729.54,1,At Risk / Lost
12471,2,30,19824.05,3,Loyal Customers
12472,32,7,6572.11,0,Regular Customers
12473,29,5,3938.55,0,Regular Customers
12474,17,18,7375.79,3,Loyal Customers
12475,54,1,723.38,0,Regular Customers
12476,16,11,6816.42,0,Regular Customers
12477,23,6,13219.74,0,Regular Customers
12478,4,1,680.99,0,Regular Customers
12479,11,1,527.2,0,Regular Customers
12480,28,4,3281.63,0,Regular Customers
12481,23,10,5596.32,0,Regular Customers
12483,17,8,2484.98,0,Regular Customers
12484,33,6,4541.72,0,Regular Customers
12488,10,3,1298.66,0,Regular Customers
12489,336,1,334.93,1,At Risk / Lost
12490,5,10,5417.93,0,Regular Customers
12491,39,1,460.4,0,Regular Customers
12492,63,2,263.21000000000004,0,Regular Customers
12493,166,2,433.74,1,At Risk / Lost
12494,16,7,1246.1,0,Regular Customers
12497,82,1,1043.1,0,Regular Customers
12498,21,3,403.7000000000001,0,Regular Customers
12500,23,11,4257.82,0,Regular Customers
12501,337,1,2169.39,1,At Risk / Lost
12502,96,5,3723.87,0,Regular Customers
12504,18,2,482.05,0,Regular Customers
12506,233,1,73.5,1,At Risk / Lost
12507,134,3,1304.81,0,Regular Customers
12508,26,2,398.27,0,Regular Customers
12509,284,1,176.5,1,At Risk / Lost
12510,143,2,982.57,0,Regular Customers
12512,66,2,138.03,0,Regular Customers
12513,113,1,612.29,0,Regular Customers
12514,267,1,1017.68,1,At Risk / Lost
12515,353,1,383.7,1,At Risk / Lost
12516,78,2,1312.06,0,Regular Customers
12517,28,5,2502.84,0,Regular Customers
12518,1,5,2056.89,0,Regular Customers
12519,64,1,340.84000000000003,0,Regular Customers
12520,79,5,2634.26,0,Regular Customers
12521,143,1,599.68,1,At Risk / Lost
12522,39,2,192.72,0,Regular Customers
12523,19,11,1789.77,0,Regular Customers
12524,9,8,4485.72,0,Regular Customers
12526,1,3,1316.66,0,Regular Customers
12527,82,3,348.71000000000004,0,Regular Customers
12528,9,6,1933.48,0,Regular Customers
12530,60,4,1662.28,0,Regular Customers
12531,15,1,125.22,0,Regular Customers
12532,30,1,349.83000000000004,0,Regular Customers
12534,131,1,1089.18,0,Regular Customers
12535,92,2,716.35,0,Regular Customers
12536,43,3,12601.830000000002,0,Regular Customers
12538,29,1,363.95,0,Regular Customers
12539,22,4,5568.35,0,Regular Customers
12540,20,17,13400.24,3,Loyal Customers
12541,30,3,981.18,0,Regular Customers
12544,36,1,372.7,0,Regular Customers
12545,75,2,1000.39,0,Regular Customers
12546,47,2,1161.5,0,Regular Customers
12547,198,2,207.8,1,At Risk / Lost
12548,166,1,95.2,1,At Risk / Lost
12550,79,1,964.83,0,Regular Customers
12551,358,1,168.0,1,At Risk / Lost
12552,39,2,437.82,0,Regular Customers
12553,8,10,3692.28,0,Regular Customers
12556,50,2,603.71,0,Regular Customers
12557,16,5,11990.96,0,Regular Customers
12558,8,1,269.96,0,Regular Customers
12559,311,2,561.71,1,At Risk / Lost
12560,5,3,2134.01,0,Regular Customers
12561,303,1,238.85,1,At Risk / Lost
12562,8,7,3781.74,0,Regular Customers
12564,261,1,456.9,1,At Risk / Lost
12565,289,1,145.92000000000002,1,At Risk / Lost
12566,86,1,351.65,0,Regular Customers
12567,23,10,9401.28,0,Regular Customers
12569,2,32,4124.6900000000005,3,Loyal Customers
12571,40,2,519.61,0,Regular Customers
12572,9,2,1020.42,0,Regular Customers
12573,227,1,160.54000000000002,1,At Risk / Lost
12574,316,1,218.45,1,At Risk / Lost
12576,36,5,1315.83,0,Regular Customers
12577,35,3,657.8,0,Regular Customers
12578,21,2,2794.51,0,Regular Customers
12579,78,1,440.42,0,Regular Customers
12580,247,1,415.7,1,At Risk / Lost
12581,40,1,197.71,0,Regular Customers
12582,239,2,511.36,1,At Risk / Lost
12583,3,15,7281.38,3,Loyal Customers
12584,4,9,2338.15,0,Regular Customers
12585,234,2,2040.1,1,At Risk / Lost
12586,17,1,196.94000000000003,0,Regular Customers
12587,8,1,144.0,0,Regular Customers
12588,39,1,214.9,0,Regular Customers
12589,29,2,646.68,0,Regular Customers
12590,211,2,9864.26,1,At Risk / Lost
12591,317,1,452.85,1,At Risk / Lost
12592,92,2,437.6,0,Regular Customers
12593,109,3,418.1,0,Regular Customers
12594,38,10,3338.2200000000003,0,Regular Customers
12596,51,2,618.27,0,Regular Customers
12597,19,4,3811.22,0,Regular Customers
12598,10,8,3023.08,0,Regular Customers
12599,29,7,1032.58,0,Regular Customers
12600,29,10,2599.04,0,Regular Customers
12601,190,5,577.0600000000001,1,At Risk / Lost
12602,59,1,153.12,0,Regular Customers
12603,22,1,739.1999999999999,0,Regular Customers
12604,79,2,254.18,0,Regular Customers
12607,60,1,1579.51,0,Regular Customers
12609,78,3,1126.85,0,Regular Customers
12610,23,5,2099.54,0,Regular Customers
12611,52,1,1193.32,0,Regular Customers
12612,74,1,704.04,0,Regular Customers
12613,57,5,3344.38,0,Regular Customers
12614,278,1,315.6,1,At Risk / Lost
12615,2,4,2291.19,0,Regular Customers
12616,95,2,713.3,0,Regular Customers
12617,29,1,355.53000000000003,0,Regular Customers
12618,22,1,177.31,0,Regular Customers
12619,16,9,3641.24,0,Regular Customers
12620,15,3,1339.41,0,Regular Customers
12621,2,20,13689.67,3,Loyal Customers
12622,232,1,180.1,1,At Risk / Lost
12623,276,1,305.1,1,At Risk / Lost
12624,106,2,641.13,0,Regular Customers
12625,212,2,2683.82,1,At Risk / Lost
12626,23,9,6620.4800000000005,0,Regular Customers
12627,11,7,4478.53,0,Regular Customers
12628,4,3,786.46,0,Regular Customers
12630,10,2,1270.88,0,Regular Customers
12631,57,1,640.5,0,Regular Customers
12633,59,4,2163.98,0,Regular Customers
12635,90,2,1689.18,0,Regular Customers
12637,67,8,6021.9,0,Regular Customers
12638,33,1,671.69,0,Regular Customers
12639,239,1,486.1,1,At Risk / Lost
12640,24,3,1174.58,0,Regular Customers
12641,115,1,185.9,0,Regular Customers
12642,25,3,1013.26,0,Regular Customers
12643,128,6,3344.64,0,Regular Customers
12644,130,1,477.91,0,Regular Customers
12645,34,4,1775.18,0,Regular Customers
12646,5,2,1346.97,0,Regular Customers
12647,22,12,3722.82,0,Regular Customers
12648,155,1,318.05,1,At Risk / Lost
12649,107,3,623.51,0,Regular Customers
12650,3,1,314.44,0,Regular Customers
12651,335,1,114.0,1,At Risk / Lost
12652,331,1,919.98,1,At Risk / Lost
12653,149,2,2209.85,1,At Risk / Lost
12654,11,5,601.98,0,Regular Customers
12656,17,5,4051.17,0,Regular Customers
12657,11,4,1643.18,0,Regular Customers
12658,19,1,686.05,0,Regular Customers
12659,30,1,91.68,0,Regular Customers
12660,11,1,245.1,0,Regular Customers
12662,1,11,3849.78,0,Regular Customers
12664,8,9,4881.88,0,Regular Customers
12665,325,1,63.0,1,At Risk / Lost
12667,58,1,620.13,0,Regular Customers
12668,12,4,3807.15,0,Regular Customers
12669,151,3,2744.03,1,At Risk / Lost
12670,10,5,2996.05,0,Regular Customers
12672,330,1,225.9,1,At Risk / Lost
12673,5,2,610.52,0,Regular Customers
12674,39,4,1970.6,0,Regular Customers
12676,25,6,1331.39,0,Regular Customers
12678,42,12,17628.46,3,Loyal Customers
12679,59,4,1113.02,0,Regular Customers
12680,1,4,862.81,0,Regular Customers
12681,15,22,13787.54,3,Loyal Customers
12682,4,31,12288.22,3,Loyal Customers
12683,4,15,8476.57,3,Loyal Customers
12684,8,7,2283.63,0,Regular Customers
12685,28,6,2863.08,0,Regular Customers
12686,372,1,89.14,1,At Risk / Lost
12688,114,1,4873.81,0,Regular Customers
12689,26,2,1247.61,0,Regular Customers
12690,206,1,389.01,1,At Risk / Lost
12691,28,6,1035.8,0,Regular Customers
12693,127,4,855.91,0,Regular Customers
12694,70,2,869.67,0,Regular Customers
12695,7,4,582.1,0,Regular Customers
12697,29,3,957.59,0,Regular Customers
12700,8,4,4939.99,0,Regular Customers
12701,80,2,797.71,0,Regular Customers
12702,20,1,219.0,0,Regular Customers
12703,71,1,283.55,0,Regular Customers
12704,7,8,2340.84,0,Regular Customers
12705,15,9,6868.29,0,Regular Customers
12707,292,1,603.42,1,At Risk / Lost
12708,30,10,2712.91,0,Regular Customers
12709,15,15,9736.52,3,Loyal Customers
12710,97,3,1149.02,0,Regular Customers
12712,29,13,4396.13,0,Regular Customers
12713,1,1,848.55,0,Regular Customers
12714,9,5,4708.86,0,Regular Customers
12715,106,1,353.86,0,Regular Customers
12716,4,2,1053.49,0,Regular Customers
12717,151,2,1030.98,1,At Risk / Lost
12718,71,1,238.25,0,Regular Customers
12719,5,2,644.95,0,Regular Customers
12720,3,25,5781.7300000000005,3,Loyal Customers
12721,32,6,2656.13,0,Regular Customers
12722,85,4,997.63,0,Regular Customers
12723,4,5,725.07,0,Regular Customers
12724,5,4,1031.41,0,Regular Customers
12725,371,1,427.8,1,At Risk / Lost
12726,28,7,2609.1,0,Regular Customers
12727,11,7,3980.7,0,Regular Customers
12728,71,4,836.33,0,Regular Customers
12729,114,1,453.01,0,Regular Customers
12731,24,12,18895.91,3,Loyal Customers
12732,180,1,236.26,1,At Risk / Lost
12733,234,1,383.95,1,At Risk / Lost
12734,353,1,110.4,1,At Risk / Lost
12735,315,2,779.5699999999999,1,At Risk / Lost
12736,333,1,234.0,1,At Risk / Lost
12738,372,1,155.35,1,At Risk / Lost
12739,78,2,1013.04,0,Regular Customers
12740,64,1,427.6,0,Regular Customers
12743,134,2,546.43,0,Regular Customers
12744,52,7,21279.29,3,Loyal Customers
12747,2,11,4196.01,0,Regular Customers
12748,1,209,33719.73,2,Champions
12749,4,5,4090.88,0,Regular Customers
12750,129,1,275.88,0,Regular Customers
12752,81,1,4366.78,0,Regular Customers
12753,23,6,21429.39,0,Regular Customers
12754,236,3,3010.74,1,At Risk / Lost
12755,281,2,3811.95,1,At Risk / Lost
12756,87,1,112.08,0,Regular Customers
12757,16,13,7857.1,3,Loyal Customers
12758,117,2,2791.59,0,Regular Customers
12759,52,3,1531.44,0,Regular Customers
12762,8,2,1898.52,0,Regular Customers
12763,138,2,494.08,0,Regular Customers
12764,317,1,1693.88,1,At Risk / Lost
12766,4,7,6989.63,0,Regular Customers
12769,239,1,1143.6,1,At Risk / Lost
12770,211,1,1351.45,1,At Risk / Lost
12772,60,1,892.47,0,Regular Customers
12775,17,5,1386.04,0,Regular Customers
12778,20,6,822.23,0,Regular Customers
12779,38,8,3981.36,0,Regular Customers
12781,64,2,826.74,0,Regular Customers
12782,5,5,2330.92,0,Regular Customers
12783,2,6,2225.91,0,Regular Customers
12784,9,2,574.42,0,Regular Customers
12785,364,1,311.95,1,At Risk / Lost
12787,10,3,463.66,0,Regular Customers
12789,65,1,91.85,0,Regular Customers
12790,192,1,324.92,1,At Risk / Lost
12791,374,1,192.6,1,At Risk / Lost
12792,257,1,400.54,1,At Risk / Lost
12793,335,2,545.48,1,At Risk / Lost
12794,53,2,860.41,0,Regular Customers
12795,19,1,430.48,0,Regular Customers
12797,366,1,254.03,1,At Risk / Lost
12798,10,3,6977.04,0,Regular Customers
12802,187,1,427.58,1,At Risk / Lost
12808,37,3,483.65,0,Regular Customers
12809,178,1,489.31,1,At Risk / Lost
12811,261,3,514.85,1,At Risk / Lost
12812,45,1,229.64,0,Regular Customers
12814,102,1,125.92,0,Regular Customers
12815,148,2,1063.46,1,At Risk / Lost
12816,96,2,572.2,0,Regular Customers
12817,281,1,166.04000000000002,1,At Risk / Lost
12818,262,1,1542.08,1,At Risk / Lost
12820,3,4,942.34,0,Regular Customers
12821,214,1,92.72,1,At Risk / Lost
12822,71,2,948.88,0,Regular Customers
12823,75,5,1759.5,0,Regular Customers
12824,60,1,397.12,0,Regular Customers
12826,3,7,1474.72,0,Regular Customers
12827,6,3,430.15,0,Regular Customers
12828,3,6,1018.71,0,Regular Customers
12829,337,2,293.0,1,At Risk / Lost
12830,38,6,6814.64,0,Regular Customers
12831,262,1,215.05,1,At Risk / Lost
12832,32,2,383.03,0,Regular Customers
12833,145,1,417.38,1,At Risk / Lost
12834,283,1,312.38,1,At Risk / Lost
12836,59,4,2612.86,0,Regular Customers
12837,173,1,134.1,1,At Risk / Lost
12838,34,2,683.13,0,Regular Customers
12839,3,14,5591.42,3,Loyal Customers
12840,144,4,2726.77,0,Regular Customers
12841,5,25,4022.35,3,Loyal Customers
12842,70,2,1118.99,0,Regular Customers
12843,66,8,1702.26,0,Regular Customers
12844,29,2,325.96000000000004,0,Regular Customers
12845,267,4,354.09000000000003,1,At Risk / Lost
12847,22,1,871.54,0,Regular Customers
12849,31,2,1050.89,0,Regular Customers
12851,97,1,135.18,0,Regular Customers
12852,295,1,311.55,1,At Risk / Lost
12853,135,6,1957.1,0,Regular Customers
12854,79,3,1324.5,0,Regular Customers
12855,373,1,38.1,1,At Risk / Lost
12856,8,6,2179.93,0,Regular Customers
12857,211,2,1106.4,1,At Risk / Lost
12863,52,1,521.2,0,Regular Customers
12864,138,1,147.12,0,Regular Customers
12865,26,2,1568.23,0,Regular Customers
12866,283,1,559.12,1,At Risk / Lost
12867,26,7,4036.82,0,Regular Customers
12868,186,6,1607.0600000000002,1,At Risk / Lost
12871,84,2,380.64,0,Regular Customers
12872,327,2,599.97,1,At Risk / Lost
12873,282,1,374.0,1,At Risk / Lost
12875,143,2,343.2300000000001,0,Regular Customers
12876,58,2,2218.02,0,Regular Customers
12877,4,12,1535.77,0,Regular Customers
12878,236,2,854.99,1,At Risk / Lost
12879,45,3,573.22,0,Regular Customers
12881,276,1,298.0,1,At Risk / Lost
12882,9,2,1463.04,0,Regular Customers
12883,25,4,703.47,0,Regular Customers
12884,88,1,309.05,0,Regular Customers
12885,63,3,1175.22,0,Regular Customers
12886,68,2,1378.4,0,Regular Customers
12888,214,2,354.12,1,At Risk / Lost
12890,24,1,380.47,0,Regular Customers
12891,186,3,331.0,1,At Risk / Lost
12893,31,1,188.14,0,Regular Customers
12895,42,2,372.8,0,Regular Customers
12897,205,2,216.5,1,At Risk / Lost
12901,9,28,17654.54,3,Loyal Customers
12902,265,1,138.68,1,At Risk / Lost
12904,18,2,509.58,0,Regular Customers
12906,12,5,2919.81,0,Regular Customers
12908,176,2,750.0,1,At Risk / Lost
12909,40,5,2178.67,0,Regular Customers
12910,23,8,3075.04,0,Regular Customers
12912,3,5,1662.3,0,Regular Customers
12913,5,5,2483.63,0,Regular Customers
12915,149,2,363.65,1,At Risk / Lost
12916,139,4,3006.15,0,Regular Customers
12917,128,1,594.0,0,Regular Customers
12919,8,6,1335.19,0,Regular Customers
12920,17,1,164.23,0,Regular Customers
12921,9,37,16587.09,3,Loyal Customers
12922,161,1,405.38,1,At Risk / Lost
12923,64,1,176.97,0,Regular Customers
12924,88,4,933.7,0,Regular Customers
12925,5,2,694.05,0,Regular Customers
12928,35,5,2062.7,0,Regular Customers
12929,312,1,117.85,1,At Risk / Lost
12930,78,2,415.8,0,Regular Customers
12931,22,15,42055.96,3,Loyal Customers
12933,24,3,607.53,0,Regular Customers
12935,2,7,2160.7,0,Regular Customers
12936,17,4,1063.9,0,Regular Customers
12937,15,4,1504.27,0,Regular Customers
12938,26,1,114.14,0,Regular Customers
12939,64,8,11581.8,0,Regular Customers
12940,55,2,913.54,0,Regular Customers
12942,131,3,683.9,0,Regular Customers
12944,36,2,604.51,0,Regular Customers
12945,288,1,462.95,1,At Risk / Lost
12947,144,6,1603.99,0,Regular Customers
12948,16,7,2064.95,0,Regular Customers
12949,31,8,4167.22,0,Regular Customers
12950,2,3,1843.0,0,Regular Customers
12951,9,6,1064.07,0,Regular Customers
12952,6,4,1387.79,0,Regular Customers
12953,10,1,329.85,0,Regular Customers
12955,1,11,4757.16,0,Regular Customers
12956,306,1,108.07,1,At Risk / Lost
12957,10,8,4017.54,0,Regular Customers
12962,7,2,266.39,0,Regular Customers
12963,8,8,1856.63,0,Regular Customers
12965,89,1,771.91,0,Regular Customers
12966,10,1,160.18,0,Regular Customers
12967,358,2,1660.9,1,At Risk / Lost
12968,112,1,135.95,0,Regular Customers
12970,7,4,452.24,0,Regular Customers
12971,4,86,11189.91,3,Loyal Customers
12974,198,1,144.8,1,At Risk / Lost
12976,212,1,738.6,1,At Risk / Lost
12977,156,1,39.24,1,At Risk / Lost
12980,158,9,7374.900000000001,0,Regular Customers
12981,30,2,372.22,0,Regular Customers
12982,243,1,390.54,1,At Risk / Lost
12984,19,1,97.5,0,Regular Customers
12985,1,2,1239.38,0,Regular Customers
12987,74,2,558.7,0,Regular Customers
12988,292,1,535.32,1,At Risk / Lost
12989,3,15,6924.11,3,Loyal Customers
12990,31,3,409.5,0,Regular Customers
12991,23,2,503.76,0,Regular Customers
12993,23,4,414.76,0,Regular Customers
12994,4,3,974.42,0,Regular Customers
12995,85,1,211.32,0,Regular Customers
12997,22,4,1226.89,0,Regular Customers
12999,196,3,455.88,1,At Risk / Lost
13000,107,3,534.85,0,Regular Customers
13001,4,13,9818.82,3,Loyal Customers
13002,318,1,120.95,1,At Risk / Lost
13003,106,3,149.05,0,Regular Customers
13004,12,18,5655.91,3,Loyal Customers
13005,174,2,513.7,1,At Risk / Lost
13006,56,1,81.57,0,Regular Customers
13008,323,1,229.47,1,At Risk / Lost
13011,372,1,50.55,1,At Risk / Lost
13012,9,8,1661.84,0,Regular Customers
13013,1,13,4810.9400000000005,0,Regular Customers
13014,11,10,3466.28,0,Regular Customers
13015,53,5,3346.28,0,Regular Customers
13016,73,3,789.89,0,Regular Customers
13017,7,1,204.0,0,Regular Customers
13018,16,28,7277.7,3,Loyal Customers
13021,4,9,2616.38,0,Regular Customers
13023,64,2,689.9,0,Regular Customers
13026,1,5,975.36,0,Regular Customers
13027,114,6,6912.0,0,Regular Customers
13028,23,2,661.3199999999999,0,Regular Customers
13029,31,3,1247.5,0,Regular Customers
13030,11,2,799.48,0,Regular Customers
13032,52,2,1010.18,0,Regular Customers
13033,357,1,190.55,1,At Risk / Lost
13034,55,2,642.77,0,Regular Customers
13035,74,2,921.88,0,Regular Customers
13037,138,3,881.07,0,Regular Customers
13038,80,3,908.46,0,Regular Customers
13040,9,2,676.99,0,Regular Customers
13043,273,1,516.42,1,At Risk / Lost
13044,291,1,560.47,1,At Risk / Lost
13045,99,1,305.28000000000003,0,Regular Customers
13046,31,2,629.31,0,Regular Customers
13047,32,10,3237.54,0,Regular Customers
13048,14,4,1835.91,0,Regular Customers
13049,64,2,656.6800000000001,0,Regular Customers
13050,15,17,5836.86,3,Loyal Customers
13052,212,1,348.15000000000003,1,At Risk / Lost
13055,78,3,1214.41,0,Regular Customers
13058,25,3,271.40000000000003,0,Regular Customers
13059,250,1,183.4,1,At Risk / Lost
13060,254,1,307.53000000000003,1,At Risk / Lost
13061,72,1,248.61,0,Regular Customers
13062,191,1,346.98,1,At Risk / Lost
13064,13,4,1119.49,0,Regular Customers
13065,373,1,205.86,1,At Risk / Lost
13066,24,2,470.8,0,Regular Customers
13067,82,1,115.46,0,Regular Customers
13068,10,2,344.0,0,Regular Customers
13069,1,24,4436.12,3,Loyal Customers
13070,192,1,228.8,1,At Risk / Lost
13072,267,1,177.15,1,At Risk / Lost
13075,130,1,919.61,0,Regular Customers
13077,1,4,729.27,0,Regular Customers
13078,3,26,12627.94,3,Loyal Customers
13079,4,5,220.1,0,Regular Customers
13080,179,1,58.08,1,At Risk / Lost
13081,12,11,28337.38,3,Loyal Customers
13082,126,9,3613.63,0,Regular Customers
13083,4,2,303.75,0,Regular Customers
13085,158,2,416.08,1,At Risk / Lost
13089,3,97,58825.83,2,Champions
13090,9,14,8910.82,3,Loyal Customers
13091,28,1,345.82,0,Regular Customers
13092,71,5,477.83,0,Regular Customers
13093,276,8,7832.47,1,At Risk / Lost
13094,21,12,1927.32,0,Regular Customers
13095,71,1,74.39999999999999,0,Regular Customers
13097,33,10,6010.42,0,Regular Customers
13098,1,28,28882.44,3,Loyal Customers
13099,99,1,207.36,0,Regular Customers
13101,234,1,101.19,1,At Risk / Lost
13102,1,24,6424.09,3,Loyal Customers
13103,40,1,243.94,0,Regular Customers
13104,3,6,1098.48,0,Regular Customers
13106,133,1,76.5,0,Regular Customers
13107,44,4,1531.62,0,Regular Customers
13108,373,1,350.06,1,At Risk / Lost
13109,60,2,786.54,0,Regular Customers
13110,31,7,1488.67,0,Regular Customers
13113,1,24,12245.96,3,Loyal Customers
13115,12,4,2294.78,0,Regular Customers
13116,138,1,501.14,0,Regular Customers
13117,22,8,984.91,0,Regular Customers
13118,20,5,1197.81,0,Regular Customers
13120,239,1,30.6,1,At Risk / Lost
13121,269,1,283.73,1,At Risk / Lost
13122,94,2,922.39,0,Regular Customers
13124,90,3,3866.33,0,Regular Customers
13126,5,8,2099.64,0,Regular Customers
13127,78,1,259.17,0,Regular Customers
13130,94,1,64.0,0,Regular Customers
13131,23,3,1073.3,0,Regular Customers
13132,262,1,77.3,1,At Risk / Lost
13133,274,2,109.8,1,At Risk / Lost
13134,86,4,1793.58,0,Regular Customers
13135,197,1,3096.0,1,At Risk / Lost
13136,56,5,2607.61,0,Regular Customers
13137,11,8,3650.41,0,Regular Customers
13138,22,6,962.39,0,Regular Customers
13139,16,7,5064.9400000000005,0,Regular Customers
13140,108,3,423.72,0,Regular Customers
13141,85,5,2388.75,0,Regular Customers
13142,19,1,307.09000000000003,0,Regular Customers
13144,333,1,110.95,1,At Risk / Lost
13145,40,4,618.52,0,Regular Customers
13146,26,1,228.91,0,Regular Customers
13147,10,4,712.8,0,Regular Customers
13148,29,12,3707.12,0,Regular Customers
13149,14,4,1676.06,0,Regular Customers
13151,296,1,1257.87,1,At Risk / Lost
13153,6,1,486.22,0,Regular Customers
13155,33,4,971.76,0,Regular Customers
13157,49,4,1741.22,0,Regular Customers
13158,95,4,1201.06,0,Regular Customers
13159,9,4,1437.85,0,Regular Customers
13160,22,1,91.8,0,Regular Customers
13161,313,1,112.75,1,At Risk / Lost
13162,122,4,1688.29,0,Regular Customers
13165,46,2,1021.48,0,Regular Customers
13166,283,1,417.2,1,At Risk / Lost
13167,19,4,791.33,0,Regular Customers
13168,36,4,1319.19,0,Regular Customers
13169,64,2,712.88,0,Regular Customers
13170,27,1,116.01,0,Regular Customers
13171,22,3,468.41,0,Regular Customers
13173,4,2,353.65000000000003,0,Regular Customers
13174,16,3,2817.03,0,Regular Customers
13176,46,1,492.84,0,Regular Customers
13177,65,1,282.45,0,Regular Customers
13178,26,11,5725.47,0,Regular Customers
13182,45,1,121.18,0,Regular Customers
13183,8,9,3957.78,0,Regular Customers
13184,15,10,1701.29,0,Regular Customers
13185,268,1,71.4,1,At Risk / Lost
13186,40,3,1575.89,0,Regular Customers
13187,337,1,236.02,1,At Risk / Lost
13188,11,1,114.6,0,Regular Customers
13189,19,2,260.68,0,Regular Customers
13192,95,2,911.94,0,Regular Customers
13193,61,1,117.88,0,Regular Customers
13194,136,1,60.7,0,Regular Customers
13196,11,4,1797.78,0,Regular Customers
13198,10,6,3401.24,0,Regular Customers
13199,4,38,9817.12,3,Loyal Customers
13200,19,4,870.09,0,Regular Customers
13203,10,4,869.46,0,Regular Customers
13207,15,2,250.26,0,Regular Customers
13208,59,6,1223.9,0,Regular Customers
13209,30,8,5891.61,0,Regular Customers
13210,94,1,353.48,0,Regular Customers
13211,10,3,1197.42,0,Regular Customers
13212,20,3,788.08,0,Regular Customers
13213,57,5,1520.58,0,Regular Customers
13216,268,1,333.74,1,At Risk / Lost
